iter	Passed	Remaining
538	3838	24649
539	3844	24633
540	3850	24620
541	3856	24607
542	3862	24590
543	3868	24573
544	3874	24559
545	3879	24542
546	3885	24527
547	3891	24513
548	3897	24500
549	3904	24491
550	3910	24479
551	3916	24466
552	3923	24453
553	3928	24438
554	3937	24438
555	3971	24599
556	3982	24615
557	3991	24619
558	3997	24607
559	4004	24596
560	4014	24611
561	4020	24596
562	4026	24577
563	4033	24571
564	4039	24560
565	4046	24549
566	4051	24531
567	4057	24518
568	4064	24506
569	4070	24494
570	4075	24476
571	4081	24463
572	4088	24452
573	4094	24440
574	4101	24427
575	4108	24420
576	4114	24408
577	4122	24409
578	4128	24395
579	4134	24380
580	4144	24388
581	4150	24372
582	4156	24362
583	4162	24345
584	4168	24333
585	4174	24320
586	4180	24309
587	4191	24322
588	4200	24323
589	4209	24328
590	4220	24342
591	4228	24344
592	4235	24334
593	4241	24319
594	4247	24304
595	4252	24290
596	4258	24276
597	4264	24259
598	4269	24242
599	4275	24225
600	4281	24213
601	4287	24200
602	4292	24184
603	4299	24175
604	4305	24163
605	4312	24154
606	4318	24138
607	4324	24128
608	4330	24114
609	4336	24097
610	4341	24081
611	4347	24067
612	4352	24051
613	4358	24035
614	4364	24021
615	4370	24006
616	4377	24003
617	4384	23995
618	4391	23988
619	4399	23985
620	4408	23985
621	4414	23976
622	4425	23987
623	4432	23979
624	4438	23968
625	4445	23958
626	4450	23942
627	4457	23932
628	4463	23922
629	4470	23914
630	4476	23898
631	4482	23887
632	4487	23870
633	4493	23857
634	4499	23845
635	4504	23828
636	4510	23811
637	4515	23795
638	4521	23780
639	4527	23767
640	4534	23762
641	4540	23747
642	4546	23735
643	4555	23737
644	4561	23726
645	4567	23714
646	4574	23705
647	4581	23696
648	4588	23693
649	4595	23686
650	4602	23675
651	4608	23666
652	4614	23652
653	4622	23650
654	4631	23651
655	4638	23643
656	4644	23634
657	4651	23624
658	4657	23610
659	4664	23602
660	4670	23594
661	4676	23582
662	4682	23569
663	4690	23563
664	4697	23556
665	4705	23557
666	4712	23548
667	4718	23537
668	4725	23530
669	4732	23520
670	4739	23512
671	4746	23506
672	4754	23503
673	4761	23496
674	4768	23491
675	4775	23481
676	4784	23485
677	4790	23472
678	4797	23466
679	4804	23456
680	4810	23444
681	4817	23437
682	4823	23426
683	4830	23416
684	4838	23414
685	4844	23404
686	4851	23393
687	4858	23386
688	4866	23383
689	4872	23375
690	4878	23361
691	4886	23357
692	4893	23350
693	4898	23334
694	4904	23323
695	4911	23313
696	4916	23300
697	4924	23295
698	4930	23285
699	4937	23278
700	4944	23270
701	4953	23271
702	4993	23420
703	5001	23416
704	5010	23415
705	5016	23404
706	5022	23392
707	5028	23380
708	5036	23377
709	5042	23364
710	5047	23349
711	5053	23336
712	5060	23327
713	5067	23320
714	5073	23307
715	5079	23295
716	5087	23292
717	5092	23278
718	5099	23271
719	5105	23256
720	5114	23262
721	5121	23253
722	5129	23247
723	5135	23236
724	5140	23221
725	5146	23210
726	5153	23201
727	5159	23190
728	5166	23180
729	5171	23166
730	5177	23152
731	5184	23143
732	5191	23139
733	5202	23147
734	5209	23139
735	5217	23138
736	5223	23127
737	5232	23127
738	5238	23116
739	5244	23103
740	5251	23097
741	5260	23098
742	5267	23090
743	5273	23077
744	5281	23073
745	5289	23070
746	5299	23077
747	5307	23073
748	5313	23063
749	5320	23056
750	5326	23043
751	5332	23030
752	5340	23027
753	5346	23018
754	5352	23004
755	5360	23002
756	5371	23011
757	5382	23019
758	5392	23026
759	5401	23028
760	5410	23029
761	5417	23021
762	5424	23014
763	5433	23012
764	5441	23009
765	5448	23001
766	5455	22996
767	5462	22986
768	5467	22971
769	5473	22960
770	5478	22946
771	5484	22932
772	5490	22922
773	5496	22909
774	5502	22898
775	5508	22886
776	5514	22872
777	5519	22860
778	5525	22846
779	5531	22836
780	5536	22821
781	5542	22806
782	5547	22794
783	5553	22780
784	5559	22767
785	5564	22754
786	5570	22740
787	5575	22725
788	5581	22715
789	5587	22702
790	5592	22686
791	5599	22680
792	5605	22668
793	5611	22658
794	5617	22647
795	5623	22633
796	5630	22626
797	5635	22613
798	5641	22601
799	5649	22597
800	5656	22591
801	5662	22580
802	5670	22574
803	5676	22565
804	5682	22551
805	5687	22538
806	5693	22528
807	5699	22516
808	5705	22503
809	5710	22488
810	5716	22477
811	5722	22465
812	5729	22458
813	5737	22455
814	5743	22444
815	5749	22434
816	5755	22424
817	5761	22413
818	5768	22405
819	5774	22395
820	5787	22411
821	5795	22405
822	5800	22393
823	5807	22382
824	5812	22370
825	5818	22356
826	5823	22344
827	5828	22330
828	5835	22319
829	5840	22306
830	5846	22293
831	5852	22283
832	5857	22271
833	5862	22255
834	5867	22241
835	5874	22231
836	5880	22220
837	5886	22211
838	5892	22202
839	5900	22198
840	5907	22191
841	5914	22181
842	5920	22171
843	5925	22157
844	5933	22152
845	5940	22145
846	5946	22136
847	5951	22122
848	5957	22109
849	5962	22095
850	5968	22084
851	5975	22077
852	6146	22675
853	6154	22672
854	6163	22671
855	6170	22662
856	6176	22652
857	6183	22644
858	6190	22635
859	6196	22624
860	6202	22612
861	6208	22599
862	6215	22592
863	6221	22580
864	6227	22570
865	6233	22558
866	6239	22545
867	6245	22534
868	6250	22521
869	6256	22510
870	6262	22495
871	6268	22484
872	6273	22472
873	6279	22460
874	6285	22448
875	6291	22438
876	6298	22427
877	6306	22423
878	6313	22416
879	6319	22404
880	6325	22393
881	6331	22381
882	6337	22369
883	6343	22359
884	6349	22347
885	6355	22336
886	6360	22324
887	6366	22311
888	6372	22300
889	6378	22287
890	6383	22274
891	6389	22263
892	6394	22249
893	6400	22235
894	6405	22222
895	6411	22211
896	6417	22199
897	6424	22191
898	6433	22193
899	6440	22185
900	6448	22178
901	6454	22169
902	6461	22162
903	6469	22157
904	6477	22152
905	6487	22154
906	6495	22150
907	6502	22141
908	6549	22270
909	6570	22310
910	6579	22308
911	6586	22302
912	6593	22294
913	6601	22288
914	6609	22283
915	6615	22272
916	6620	22259
917	6625	22245
918	6632	22234
919	6637	22220
920	6643	22209
921	6652	22208
922	6659	22201
923	6666	22193
924	6672	22181
925	6678	22171
926	6685	22161
927	6690	22148
928	6697	22138
929	6702	22125
930	6708	22114
931	6716	22108
932	6723	22102
933	6730	22093
934	6737	22085
935	6742	22071
936	6748	22061
937	6755	22051
938	6761	22040
939	6767	22029
940	6772	22014
941	6778	22003
942	6784	21992
943	6790	21982
944	6797	21975
945	6806	21973
946	6812	21961
947	6817	21949
948	6823	21938
949	6829	21927
950	6836	21917
951	6842	21906
952	6848	21894
953	6855	21887
954	6861	21878
955	6867	21868
956	6874	21857
957	6879	21845
958	6886	21837
959	6891	21824
960	6897	21810
961	6902	21798
962	6908	21787
963	6914	21775
964	6921	21768
965	6926	21755
966	6932	21744
967	6938	21733
968	6944	21721
969	6949	21709
970	6955	21698
971	6961	21686
972	6967	21675
973	6974	21667
974	6981	21659
975	6986	21647
976	6993	21639
977	6999	21628
978	7009	21629
979	7014	21616
980	7022	21610
981	7028	21600
982	7034	21589
983	7042	21585
984	7048	21573
985	7053	21561
986	7058	21548
987	7067	21546
988	7073	21535
989	7079	21525
990	7084	21512
991	7091	21502
992	7097	21493
993	7103	21483
994	7110	21473
995	7115	21462
996	7121	21448
997	7126	21436
998	7132	21427
999	7185	21555
1000	7192	21549
1001	7201	21548
1002	7208	21539
1003	7213	21526
1004	7220	21516
1005	7225	21505
1006	7231	21492
1007	7237	21481
1008	7242	21470
1009	7249	21460
1010	7255	21449
1011	7260	21437
1012	7266	21426
1013	7272	21414
1014	7277	21401
1015	7283	21392
1016	7288	21379
1017	7294	21368
1018	7300	21357
1019	7306	21346
1020	7312	21335
1021	7318	21325
1022	7324	21314
1023	7329	21301
1024	7335	21290
1025	7341	21280
1026	7347	21270
1027	7355	21263
1028	7361	21253
1029	7368	21247
1030	7375	21240
1031	7386	21242
1032	7394	21237
1033	7402	21234
1034	7410	21228
1035	7417	21222
1036	7427	21223
1037	7434	21216
1038	7441	21207
1039	7447	21196
1040	7454	21188
1041	7460	21177
1042	7468	21173
1043	7476	21169
1044	7483	21160
1045	7490	21152
1046	7505	21168
1047	7512	21159
1048	7520	21155
1049	7527	21149
1050	7536	21148
1051	7543	21140
1052	7549	21127
1053	7557	21124
1054	7565	21119
1055	7574	21115
1056	7580	21105
1057	7586	21095
1058	7594	21091
1059	7604	21091
1060	7612	21086
1061	7623	21089
1062	7636	21100
1063	7646	21100
1064	7657	21102
1065	7663	21093
1066	7670	21083
1067	7678	21078
1068	7685	21073
1069	7692	21063
1070	7702	21065
1071	7711	21061
1072	7720	21061
1073	7729	21056
1074	7739	21057
1075	7749	21060
1076	7758	21056
1077	7765	21049
1078	7774	21047
1079	7781	21039
1080	7788	21030
1081	7794	21020
1082	7800	21010
1083	7806	21001
1084	7812	20988
1085	7817	20976
1086	7823	20965
1087	7829	20954
1088	7835	20945
1089	7840	20931
1090	7845	20919
1091	7850	20907
1092	7857	20897
1093	7863	20887
1094	7870	20880
1095	7876	20869
1096	7882	20859
1097	7888	20849
1098	7893	20836
1099	7900	20828
1100	7907	20821
1101	7913	20810
1102	7919	20801
